date,median,lower,upper,observed
2020-10-12,480.23984941478216,397.1157876435641,563.1731974688413,455
2020-10-13,489.76254905305575,407.94134840819294,571.2285292997921,492
2020-10-14,500.93673628227924,418.86848556919807,580.5493978187359,502
2020-10-15,517.7223583625516,437.05316361833786,601.7413353164045,524
2020-10-16,535.2553005621506,451.06988868508597,621.2723626547709,526
2020-10-17,556.0221979776848,472.7169906367452,637.6746438138035,544
2020-10-18,577.3863081382033,490.02363636813266,663.2494928795853,578
2020-10-19,600.5203966176913,515.9830082774884,683.9275308215783,580
2020-10-20,626.4274793340094,539.5047268097148,709.6905434502166,594
2020-10-21,660.309643370103,572.5478682199013,743.4924560245431,628
2020-10-22,694.5201122628978,611.1775022987152,779.1458944385753,639
2020-10-23,732.1358144045258,647.1438764408961,816.2266983821181,637
2020-10-24,768.5885918743943,681.8818005043853,852.7294798110023,683
2020-10-25,801.4513982469749,721.00498135898,884.3299162250495,744
2020-10-26,834.6844349554578,748.4552972381945,916.8297279021189,798
2020-10-27,864.9054118089341,778.7959848527372,950.5062355401175,827
2020-10-28,894.6566145678763,811.3554091675419,980.0568319516025,852
2020-10-29,923.1702311149343,837.9994906016572,1006.1741351840445,880
2020-10-30,945.1937974293087,859.3963687349989,1031.041804852404,888
2020-10-31,968.4992172049683,881.9634600079013,1052.750534643595,950
2020-11-01,986.7969705130582,900.4937938959646,1066.9163181144552,970
2020-11-02,997.5600340839172,910.6243744042491,1084.3979864677794,1017
2020-11-03,1008.0200324246273,923.8163135538929,1092.6297442049938,1038
2020-11-04,1014.5312514354836,933.1427658818878,1100.5507015108137,1037
2020-11-05,1021.7203973748165,935.0039194682257,1106.900434721327,996
2020-11-06,1023.8151502972028,938.7354501192841,1109.0378691500246,952
2020-11-07,1024.2258041762266,940.7611155305455,1108.9215766863017,1004
2020-11-08,1019.3627305677371,935.0616421421059,1104.59725803855,1032
2020-11-09,1010.3797068797942,929.0095574495259,1096.065764179651,1024
2020-11-10,997.2655323007425,912.8715243711156,1079.7327242879574,998
2020-11-11,986.6544201742313,901.944116093256,1070.601402030154,1009
2020-11-12,972.0257298306385,888.326969517097,1056.8272668502684,969
2020-11-13,955.0212109102577,870.9485169518679,1041.1271292046588,918
2020-11-14,936.9743495722798,854.3072927374999,1021.5700897317154,917
2020-11-15,915.0559602504954,831.6489311178881,997.0591876239318,949
2020-11-16,892.1676593420442,807.0096476521999,976.6612934408906,910
2020-11-17,869.177679873148,782.7481804532262,955.2578946524333,875
2020-11-18,845.695316647226,760.407210591481,929.8040182019887,803
2020-11-19,821.0616614245298,736.7483966253151,905.0526823732134,765
2020-11-20,798.8368217108141,713.3237160936873,881.6302236284355,691
2020-11-21,773.4809325985751,688.9224789155116,860.7460991774734,701
2020-11-22,748.0948229051451,663.4219362206965,831.9400292335495,709
2020-11-23,722.7669571145983,635.6323959900509,806.7977509887027,680
2020-11-24,697.6493851861504,611.9250687867501,781.5839707345878,623
2020-11-25,672.0084130616721,587.0553389884949,758.7527012237133,584
2020-11-26,649.3470356154331,564.6036481738118,734.4055313417134,571
2020-11-27,629.1806957142619,545.4389127515005,713.3697649935041,556
2020-11-28,609.5573310430113,521.841126252752,694.3252026078292,566
2020-11-29,589.6259143227054,506.32890872557067,676.9282108724709,591
2020-11-30,573.0568749600889,487.82777248542817,657.1217702801677,569
2020-12-01,556.5844247252411,471.0367817867959,640.3875686948141,547
2020-12-02,540.5712377462353,456.90222191829355,629.9241591439102,541
2020-12-03,526.8499463023161,443.4783140545734,613.9685115747639,522
2020-12-04,513.5255743316532,429.301475024919,600.2648779413433,474
2020-12-05,498.10680678917026,411.5249010525955,583.9060301268075,475
2020-12-06,485.18167234212217,397.6166958351315,571.5602385959,484
2020-12-07,470.15189416993485,385.8354012969018,558.8891107212637,491
2020-12-08,458.3483569169057,372.95827644034506,543.4385100523236,499
2020-12-09,444.4509851624963,357.9152050547598,529.505262420934,486
2020-12-10,431.7847080952846,346.24203660963286,516.8542012187702,464
2020-12-11,420.4028875920228,334.3363508789061,507.692140648703,417
2020-12-12,410.4584528612804,326.4832537206321,496.92190741214455,420
2020-12-13,400.19073512028433,316.70799147817354,485.48260899191746,422
2020-12-14,389.6051960851677,303.94357991615726,475.3398232660905,427
2020-12-15,383.8116483118828,299.89655818008674,468.3546428834303,418
2020-12-16,375.5968112384579,288.837687998246,462.430313511416,386
2020-12-17,367.3200884470498,283.4637149313967,450.65647533883134,384
2020-12-18,361.39129158572445,275.80611391057397,444.5611051288533,374
2020-12-19,354.1216153138686,266.1016862018716,441.2557763902785,374
2020-12-20,346.5720128142606,259.9537726264579,430.98940449569176,389
2020-12-21,340.3283768350181,256.0981259005377,427.9471003026592,367
2020-12-22,335.8159636090876,250.64566214542063,421.0339033820026,358
2020-12-23,329.2371715378413,245.76409448409734,413.30394048329487,321
2020-12-24,326.47689337588065,241.13448481042036,410.34142027478794,321
2020-12-25,323.65192584509964,239.34789277581646,408.3109134401024,327
2020-12-26,322.77322963758326,235.2309917945875,406.4517831599618,330
2020-12-27,319.7460365524073,236.03245019109897,405.1259355825414,350
2020-12-28,320.3208253316676,234.86751470548472,403.8100790726182,352
2020-12-29,322.49957439396223,238.7052819507084,406.50994589561884,334
2020-12-30,326.42499955979406,242.3640583276469,414.16573066549705,312
2020-12-31,330.35600267370995,245.16945701214536,413.1331160886215,312
2021-01-01,335.1782399101041,252.60583917859475,418.86329106472806,343
2021-01-02,339.4818704571807,253.27229315918026,424.14774438630553,354
2021-01-03,345.21031716811956,261.1696340077461,430.30824311978944,388
2021-01-04,352.2134757372895,268.8814771143187,435.9676771307214,399
2021-01-05,363.933475892184,280.037939443883,444.50885389214574,399
2021-01-06,374.58610559439967,287.80299749410455,460.0176083103027,420
2021-01-07,387.0867305379121,302.3657986147348,472.4763905525514,445
2021-01-08,400.8996208641298,317.62383969916465,487.99996622807913,417
2021-01-09,417.4599875456766,332.84816379213424,500.45258228464564,437
2021-01-10,435.7211209604218,350.7883836607725,519.430397687702,469
2021-01-11,454.6454663419222,369.89402494090916,540.3332350626392,477
2021-01-12,472.9352088304116,390.15316483895367,558.0449714666319,468
2021-01-13,497.6349868626944,413.50748457374345,581.1229787642004,497
2021-01-14,520.6173385467475,437.5231731113199,602.2563729205289,519
2021-01-15,544.0815981511275,461.1802188853442,630.6480036438519,532
2021-01-16,565.8545241544734,485.65179959347086,649.3248853172832,554
2021-01-17,588.1793355089164,503.11416406177375,673.9904673681152,603
2021-01-18,608.1393865977568,522.9860417757859,693.6097968351512,641
2021-01-19,628.286625390167,545.240578891277,711.0665953634384,641
2021-01-20,646.1312878245787,563.1538523612498,732.875928007977,647
2021-01-21,663.1767025650965,577.5648344901728,749.6314345247566,674
2021-01-22,681.1670537117955,596.27423449769,765.6943054290056,692
2021-01-23,696.9667848506355,611.0277866851611,780.8549334193124,737
2021-01-24,709.550488816416,624.9403806428955,796.8743885155976,784
2021-01-25,720.1882721004902,636.0360487667307,805.5699358177511,774
2021-01-26,732.3531542928602,645.9149678486971,815.7432179610785,767
2021-01-27,741.8732640735741,656.082845953391,828.7677277099048,746
2021-01-28,750.0503260225444,664.8345352107658,834.9841849758577,736
2021-01-29,756.131228910237,671.9617595689988,841.2565024812856,753
2021-01-30,760.2918355642739,673.7747683629103,840.8812783586966,769
2021-01-31,759.2870262981978,674.3869893278916,840.6202734588542,781
2021-02-01,756.362511850396,670.630078415604,843.4299515935943,788
2021-02-02,753.1319095923677,666.9246220025917,838.1821788157058,759
2021-02-03,748.4720496600336,665.3341100900827,833.226417660076,745
2021-02-04,743.1643005070464,658.7062084980059,823.1986947143891,736
2021-02-05,737.7971634402779,653.7578478128548,822.9624245495467,693
2021-02-06,727.1836262136712,638.097113929954,809.034705378443,727
2021-02-07,715.2648528123806,628.1248966946004,800.3954248330666,758
2021-02-08,700.4427342327513,617.3626421143292,784.3352064344275,728
2021-02-09,686.6647349540041,602.788149888102,769.3890360108505,741
2021-02-10,670.3258400081733,586.7937300254531,757.6612398725118,704
2021-02-11,654.9868722266484,572.1244967438421,739.9849766785542,686
2021-02-12,640.3611159234913,554.6280651065109,721.9548641928347,652
2021-02-13,621.8119194184362,539.3362712996567,706.8025271815475,647
2021-02-14,605.046663409775,519.6845281584335,690.8991105182293,669
2021-02-15,585.771815080948,503.24519365708295,670.0957905158939,622
2021-02-16,568.6438713348352,482.5110650219392,650.8728124413765,570
2021-02-17,548.4251246099382,463.4687136765582,635.1831191708031,532
2021-02-18,530.9110429049365,444.1388229978435,613.7990255398075,503
2021-02-19,513.4651169488735,430.59859522972164,596.9781808138257,457
2021-02-20,497.88370377212937,411.7285852676359,584.7404272625063,458
2021-02-21,478.43701664697124,391.9331092844065,561.7892354596511,475
2021-02-22,462.35297995643737,378.92851780646595,548.1107396008998,446
